,Charge,E_LUMO,E_HOMO,HOMO-1,,dG,dG error,dH,viscosity,diffusion,gfet,dlcst,sn2,activity,lysozyme
Br⁻,-1,0.47922,-0.01221,-0.01221,,-36.24,6.43,,,2.08,11.1,-7.3,-4.1,-0.162518929,-8.7
CH₃COO⁻,-1,0.12625,-0.0038,-0.02676,,-59.82,4.64,,,1.09,16,-14.9,-5.6,0.593326845,
Cl⁻,-1,0.61412,0.00181,0.00181,,-45.17,3.91,65.53571429,-0.000892857,2.03,13.2,-12,-5.5,0.262364264,10.3
ClO₄⁻,-1,0.09094,-0.11326,-0.11326,,-38.64,4.77,42.5,-0.0058,1.79,6.5,,,,-17
CN⁻,-1,0.29426,-0.03271,-0.06692,,,,,,2.08,9.5,,-3.2,,
CO₃²⁻,-2,0.48443,0.23967,0.20914,,-106.87,7.78,156.9662921,0.033033708,0.92,0.033033708,0.92,,,
F⁻,-1,0.84316,0.05835,0.05835,,-87.48,4.76,110.8695652,0.027608696,1.48,20.1,-22.5,,1.547562509,
H₂PO₄⁻,-1,0.14687,-0.04712,-0.05962,,-61.07,5.02,,,0.88,,,,,
HPO₄²⁻,-2,0.3236,0.17086,0.15233,,-101.51,19.15,,,0.44,,,,,
HSO₄⁻,-1,0.17434,-0.04671,-0.05809,,-47.06,11.13,46,0.015875,1.33,,,,,
I⁻,-1,0.3658,-0.02165,-0.02165,,-26.7,2.4,36.375,-0.009125,2.05,7.3,-1.2,-2.5,-0.46203546,-26.3
N₃⁻,-1,0.32436,0.07347,0.07347,,,,,,1.83,9.1,,-4.1,,
NO₃⁻,-1,0.02583,-0.01092,-0.03743,,,,39.49367089,-0.005696203,1.9,12.5,-7.9,,,
PF₆⁻,-1,0.26406,0.10676,-0.19814,,,,,,1.52,,,,,
PO₄³⁻,-3,0.64521,0.3655,0.3655,,,,,0.038076923,,,,,,
S₂O₃²⁻,-2,0.33349,0.12957,0.12957,,,,,,1.13,,,,,
SCN⁻,-1,0.2207,-0.031,-0.031,,-25.18,6.32,,,1.76,4.6,-0.4,,,-31.4
SO₃²⁻,-2,0.52521,0.43477,0.1787,,,,110.08,0.02256,1.06,,,,0.78845736,
SO₄²⁻,-2,0.38868,0.13529,0.13529,,-84.69,7.45,91.59292035,0.018230088,1.07,34,,,1.916922612,
